generations,population,crossover,mutation,elitism,bits,score,avg_fitness,std_dev
16,95,0.6793,0.048,0.597,15,-6.301191302570361,-7.951695846620123,0.10100908809952362
16,95,0.7993,0.048,0.5708,15,-6.246501586363145,-7.9299126526816,0.16682213263690954
16,99,0.7993,0.0416,0.5708,18,-6.217910367314472,-7.873097795944381,0.11037485725981823
16,95,0.7993,0.048,0.5708,15,-6.1981131440497315,-7.889751065011948,0.1832758419244343
16,95,0.7993,0.048,0.597,15,-6.1973418860631675,-7.87852939976576,0.16237502740518567
16,99,0.7993,0.048,0.5708,18,-6.188935113641124,-7.880240152439039,0.18261007759582806
16,95,0.7993,0.0416,0.5708,15,-6.126441685884666,-7.826773836586059,0.20066430140278457
16,99,0.7993,0.048,0.5708,15,-5.960628451062993,-7.754223282323109,0.3871896625202336
16,49,0.7993,0.0416,0.5708,15,-5.661216362175727,-7.500505237589903,0.4785777508283528
16,95,0.7993,0.048,0.5708,15,-6.406625881747729,-8.034803910397155,0.056356057298853006
16,99,0.7993,0.03,0.5708,18,-6.361095928918477,-8.00966098913372,0.09713012043048458
16,99,0.7993,0.0416,0.5708,18,-6.342082091941144,-7.990561642523586,0.09695910116488383
16,99,0.7993,0.0416,0.5708,15,-6.329079426129086,-7.997117276258114,0.1360757002580551
16,99,0.7993,0.048,0.5708,15,-6.310987728649906,-7.944269444102582,0.06656343090535066
16,95,0.7993,0.0366,0.5708,15,-6.30962927709421,-7.953605627882905,0.08795270157739157
16,99,0.7993,0.048,0.5708,15,-6.255293058617006,-7.939611859873334,0.16863760251265283
16,99,0.7993,0.0416,0.5708,15,-6.233380967845335,-7.89019033316427,0.11361873063787173
16,99,0.7993,0.048,0.5708,18,-6.183782055637634,-7.872095512119948,0.1766269129646287
16,99,0.7993,0.0416,0.5708,15,-6.097970734532675,-7.8423754838852675,0.28880949870518463
16,95,0.6793,0.048,0.597,15,-6.092221200780367,-7.778282087931358,0.17212177430198156
16,95,0.7993,0.048,0.597,15,-6.04251979321201,-7.810125955694187,0.335212324964352
16,95,0.7993,0.048,0.597,15,-5.983252227052628,-7.769153717512731,0.3718029809202081
19,99,0.7993,0.0416,0.5708,18,-5.852442861660509,-7.861169270653857,0.21745281798669497
16,99,0.7993,0.0416,0.5708,15,-5.53643266709102,-7.444520797949501,0.6161762617169608
16,95,0.7993,0.048,0.5708,15,-6.417840209525355,-8.0524447843342,0.0692091496176927
16,95,0.7993,0.0366,0.5708,15,-6.366623771476146,-8.01341391984711,0.09358029674192751
16,99,0.7993,0.048,0.5708,15,-6.317777604564519,-7.975709102441622,0.1158629957542064
16,99,0.7993,0.0416,0.6796,15,-6.292372863393938,-7.939875330132714,0.09500493347755204
16,99,0.7993,0.048,0.5708,20,-6.266878479418539,-7.9603212005342705,0.18688544223146328
16,99,0.7993,0.0416,0.5708,18,-6.239557637496194,-7.929234650469194,0.17935402594600153
16,99,0.7993,0.0416,0.5708,18,-6.234205307924254,-7.894477114250852,0.12054361265319419
16,99,0.7993,0.048,0.5708,18,-6.142516469315062,-7.840256010897372,0.19547908316461973
16,99,0.7993,0.048,0.5708,15,-6.112743564744289,-7.818184084164128,0.2108810388396787
16,99,0.7993,0.0416,0.5708,15,-6.103625203196584,-7.859090301791703,0.310930197190238
16,99,0.7993,0.0416,0.5708,18,-6.078116040256942,-7.817103764581176,0.2779754486484658
16,99,0.7993,0.03,0.5708,18,-6.054764817369689,-7.822229087966378,0.3349285411933791
16,99,0.7993,0.0416,0.5708,15,-5.982944439047166,-7.782521857242197,0.3991548363900612
16,99,0.7993,0.048,0.5708,27,-5.971664613708919,-7.704382404802319,0.2654355821867987
16,99,0.7993,0.03,0.738,18,-5.699765313180615,-7.588668897490095,0.5778071686189589
16,99,0.7993,0.048,0.5708,15,-6.3931982602453505,-8.024684141367747,0.06297176224479173
16,99,0.7993,0.048,0.5708,20,-6.3844664650728085,-8.027324855178025,0.08571678021043151
16,95,0.7993,0.048,0.5708,15,-6.362948674667949,-8.008863351147467,0.09182935295903562
16,95,0.7993,0.0366,0.5708,15,-6.288261244551196,-7.9577844201798165,0.13904635125724082
16,99,0.7993,0.0416,0.6796,20,-6.279181788820708,-7.968317535770723,0.17827149390003103
16,95,0.7993,0.048,0.5708,15,-6.2645741215221715,-7.950792095843282,0.17243594864221842
16,99,0.7993,0.0416,0.5708,15,-6.251698518238843,-7.901480940601453,0.09956484472522038
16,99,0.7993,0.0416,0.6796,15,-6.248235163633508,-7.930272992002875,0.16407565673873567
16,99,0.7993,0.0416,0.5708,18,-6.237316360952999,-7.911752530955891,0.14887234000578517
16,95,0.7993,0.048,0.5708,15,-6.156147456002321,-7.8549104919871935,0.19752607196974323
16,95,0.7993,0.048,0.5708,15,-6.126325171462053,-7.863430012313682,0.2742096817032583
16,99,0.7993,0.048,0.5708,20,-6.09744464284168,-7.8508596856707555,0.30683008565815284
16,99,0.7993,0.0416,0.6796,15,-6.040149510711425,-7.771881683040995,0.26346434465913915
16,99,0.7993,0.0416,0.5708,18,-5.999438170394834,-7.713083621975554,0.2272909031614415
16,95,0.7993,0.0366,0.5708,15,-5.969490985247624,-7.824498588057427,0.510015205619604
16,99,0.7993,0.0366,0.5708,15,-6.2346194487005295,-7.8936645834667996,0.11809026953254083
16,99,0.7993,0.0416,0.6796,20,-6.234369962055656,-7.900386971972709,0.13203401983410631
16,99,0.7993,0.0416,0.6796,20,-6.223313795729608,-7.873427660771362,0.10022773008350878
16,99,0.7993,0.048,0.5708,20,-6.195362295806467,-7.879321519503705,0.16791844739447717
16,99,0.6235,0.0366,0.5708,15,-6.188403953989269,-7.8726117140194525,0.1684155200603655
16,95,0.7993,0.048,0.5708,15,-6.1433789842511715,-7.864370680053902,0.2419833916054603
16,95,0.7993,0.0366,0.5708,15,-6.114948939819405,-7.848651050637562,0.26740422163631594
16,99,0.7993,0.048,0.5708,20,-6.0943721378261095,-7.782301708786461,0.17585914192070384
16,99,0.7993,0.048,0.5708,15,-6.090526390341246,-7.833936707156611,0.2868206336307301
16,95,0.7993,0.048,0.5708,15,-6.0681087400173475,-7.799913451091542,0.26360942214838773
16,99,0.7993,0.0416,0.5708,15,-6.055437348292834,-7.807015544372157,0.303156392158644
16,99,0.7993,0.048,0.5708,20,-6.049909496233365,-7.8045937233144755,0.3093684541622213
16,95,0.7993,0.048,0.5708,15,-5.945975290564231,-7.739364684107667,0.38677878708687047
16,99,0.7993,0.0416,0.6796,20,-5.921911596922046,-7.705534222236644,0.36724525062919827
16,95,0.7993,0.0416,0.6744,15,-5.705283024977243,-7.641515067863607,0.6724640857727279
16,99,0.7993,0.048,0.5708,20,-6.310414953086251,-7.977097025259764,0.13336414434702404
16,99,0.6235,0.0416,0.6796,15,-6.304653537194154,-7.962152133187274,0.11499719198623891
16,95,0.7993,0.048,0.5708,15,-6.302811340497502,-7.960470467828769,0.115318254662534
16,99,0.7993,0.0366,0.5708,20,-6.243238318426643,-7.924469328069755,0.16246201928622195
16,99,0.7993,0.0416,0.6796,20,-6.217036429032541,-7.934969620661195,0.23586638325730735
16,95,0.7993,0.0366,0.5708,15,-6.212004185775118,-7.8769038573172505,0.12979934308426344
16,99,0.7993,0.048,0.7034,20,-6.18569561506828,-7.884232320271133,0.19707341040570542
16,99,0.7993,0.0416,0.6796,20,-6.173669703762851,-7.896823363368283,0.24630731921086557
16,99,0.7993,0.0366,0.5708,15,-6.1701265473519165,-7.857344840566788,0.17443658642974313
16,99,0.7993,0.048,0.6796,20,-6.163998506577466,-7.843448282705445,0.15889955225595923
