generations,population,crossover,mutation,elitism,bits,score,avg_fitness,std_dev
16,90,0.7955,0.0488,0.5655,11,3.4669362861362325,1.735702521886001,0.2624675285004634
16,90,0.7335,0.0488,0.5655,11,3.53452313860742,1.403663123407912,1.0617200303990157
16,90,0.7335,0.0488,0.5885,11,3.6607767943161655,1.4652611695650346,1.1910312495022615
16,90,0.7476,0.0488,0.5655,11,3.9766422021845567,2.047842462731108,0.6575994789068978
16,90,0.7335,0.0102,0.5885,14,4.183159196203603,2.1878759569619,0.7905664784834067
16,90,0.7335,0.0488,0.5655,11,4.187695935578683,2.161938269028765,0.8515153330998361
16,90,0.7335,0.0488,0.5655,14,4.788293290132904,2.181483164895399,2.013620250475008
16,39,0.7335,0.0488,0.5655,11,4.839346849799159,2.6210555857644873,1.2365825280693432
16,90,0.7335,0.0488,0.5655,11,5.106090047303392,2.765747858562977,1.480684377480831
16,90,0.7476,0.0488,0.5655,11,6.507730752620555,3.649375149190718,2.516711206859673
16,90,0.7476,0.0488,0.5655,11,6.969027503812541,3.7391034878721072,3.2598480318808676
16,90,0.7335,0.0488,0.5885,14,2.9783152744799803,1.0404393932300462,0.675751762499868
16,90,0.7335,0.0488,0.5655,11,3.289739434408598,1.529479084486771,0.3205206998436534
16,90,0.7335,0.0488,0.5655,11,3.419420987881595,1.6037474501098774,0.43134707554343515
16,90,0.7335,0.0488,0.5655,11,3.4880501686201084,1.6591402420431223,0.4578198531539716
16,90,0.7335,0.0488,0.5655,11,3.5985617449363625,1.4786452548330118,1.0398329802067017
16,90,0.7335,0.0488,0.5885,11,3.9351113130958253,1.7871958576322022,1.0958309109272462
16,90,0.7955,0.0488,0.5655,11,4.024071899514871,2.2741926237876924,0.29975855145435754
16,90,0.7335,0.0488,0.5655,11,4.039923789470886,1.778222997578722,1.3234015837843278
16,90,0.7955,0.0488,0.5655,11,4.11781595756943,2.0104612158485686,1.0147094834417223
16,90,0.7335,0.0488,0.5885,14,4.238239182514526,2.0268127999273347,1.2228527651743843
29,90,0.7335,0.0488,0.5655,11,4.607862647539936,1.351773000647378,0.712179293785116
16,90,0.7335,0.0488,0.5885,17,4.628445122770534,2.3373745021121386,1.3821412413167924
16,90,0.7335,0.0488,0.7128,11,4.7749423015612305,2.6477047361084183,1.0544751309056235
16,90,0.7335,0.0488,0.5655,17,5.441593178928047,3.2030656583424832,1.277055041171128
16,90,0.7335,0.0488,0.5655,17,6.023042644409339,3.491465801715806,1.863153685387065
16,90,0.7335,0.0488,0.5655,11,3.0081783051312674,1.3137385468888272,0.18887951648488016
16,90,0.7335,0.0488,0.5655,11,3.10705455639658,1.2993674941613886,0.4153741244703829
16,90,0.7955,0.0488,0.5655,11,3.403100452170291,1.6870374117808449,0.23212608077889194
16,90,0.7335,0.0488,0.5885,11,3.5355561669786075,1.3859766815222503,1.0991589709127139
16,90,0.7335,0.0488,0.5655,11,4.093550664179569,2.306106251437298,0.3748888254845412
16,90,0.7335,0.0488,0.5655,11,4.267687041453585,2.5250072777701624,0.2853595273668449
16,90,0.7335,0.0488,0.5885,11,4.412030881666143,2.297075777884048,1.0299102075641906
