generations,population,crossover,mutation,elitism,bits,maximize,avg_fitness,std_dev,avg_generations
10,10,0.8,0.03,0.75,20,False,10.363049362732403,5.447287868791168,10
10,10,0.8,0.03,0.75,35,False,15.147640453913759,2.369991383757706,10
10,10,0.8,0.05,0.55,10,False,11.68431700257437,5.03678776321793,10
10,10,0.8,0.05,0.55,20,False,10.707024653648363,3.9176154493498596,10
10,10,0.8,0.05,0.55,35,False,8.901284564822939,4.317697920593529,10
10,10,0.8,0.05,0.65,10,False,11.390730911894797,4.993924613658214,10
10,10,0.8,0.05,0.65,20,False,10.697843616518233,3.5929397667349643,10
10,10,0.8,0.05,0.65,35,False,13.632688069033742,2.0454552480292363,10
10,10,0.8,0.05,0.75,10,False,13.580848185363088,5.210063290048571,10
10,10,0.8,0.05,0.75,20,False,14.223849341693928,4.451808443146695,10
10,10,0.8,0.05,0.75,35,False,10.614416592278499,5.485463567631224,10
10,50,0.6,0.01,0.55,10,False,8.588293224128131,2.9441569739139344,10
10,50,0.6,0.01,0.55,20,False,8.034890120740439,1.9717519868143307,10
10,50,0.6,0.01,0.55,35,False,8.430944876756604,4.664841322248912,10
10,50,0.6,0.01,0.65,10,False,6.343147653039899,2.383611440323758,10
10,50,0.6,0.01,0.65,20,False,7.629754546370298,2.984505257559348,10
10,50,0.6,0.01,0.65,35,False,10.360593606158947,3.2538404395784477,10
10,50,0.6,0.01,0.75,10,False,9.100592218960443,3.17871487409204,10
10,50,0.6,0.01,0.75,20,False,6.283243829623636,1.99055443391541,10
10,50,0.6,0.01,0.75,35,False,7.681573780938649,3.6386341506702986,10
10,50,0.6,0.03,0.55,10,False,6.203638047018692,2.486381716775415,10
10,50,0.6,0.03,0.55,20,False,6.266662882583504,2.747385667043322,10
10,50,0.6,0.03,0.55,35,False,7.1953371481251835,2.489401082425042,10
10,50,0.6,0.03,0.65,10,False,5.883402719080877,3.4382687520462287,10
10,50,0.6,0.03,0.65,20,False,5.762623716441219,1.984970244696754,10
10,50,0.6,0.03,0.65,35,False,7.120550830092643,2.66512363188518,10
10,50,0.6,0.03,0.75,10,False,8.537987755792189,1.1749522717120615,10
10,50,0.6,0.03,0.75,20,False,7.674228263641438,3.5395034958432525,10
10,50,0.6,0.03,0.75,35,False,7.062623679431855,4.084282344006049,10
10,50,0.6,0.05,0.55,10,False,6.644776364546345,0.790390590827255,10
10,50,0.6,0.05,0.55,20,False,7.786096991530733,2.30209072048748,10
10,50,0.6,0.05,0.55,35,False,6.4299528996664135,3.5366184820288993,10
10,50,0.6,0.05,0.65,10,False,8.858239174455564,2.5512047805369216,10
10,50,0.6,0.05,0.65,20,False,5.951386684313825,2.3122555876576905,10
10,50,0.6,0.05,0.65,35,False,7.213234954808677,2.524428262099572,10
10,50,0.6,0.05,0.75,10,False,7.223565962792884,2.800197440462941,10
10,50,0.6,0.05,0.75,20,False,9.520760612258377,1.3192507354482639,10
10,50,0.6,0.05,0.75,35,False,8.920183610041764,4.7873878807064285,10
10,50,0.7,0.01,0.55,10,False,7.422974906703663,2.019356661451664,10
10,50,0.7,0.01,0.55,20,False,6.916028709855361,3.065726733815088,10
10,50,0.7,0.01,0.55,35,False,8.2055433554287,2.228550506751618,10
10,50,0.7,0.01,0.65,10,False,9.45647041113937,3.3681938976260413,10
10,50,0.7,0.01,0.65,20,False,5.739721636701479,3.4249800073945558,10
10,50,0.7,0.01,0.65,35,False,8.135063165715858,3.6426522903198815,10
10,50,0.7,0.01,0.75,10,False,10.292459846135323,2.220324779415744,10
10,50,0.7,0.01,0.75,20,False,9.226890716378088,3.5235934529018427,10
