generations,population,crossover,mutation,elitism,bits,score,avg_fitness,std_dev
10,97,0.6812,0.0231,0.6012,33,-21.205744903441193,-22.227213378021304,0.04293694916022282
10,97,0.6812,0.0231,0.6012,16,-21.199490685302134,-22.21751501673221,0.0360486628601519
10,97,0.6812,0.0466,0.6558,34,-21.194549324457487,-22.235832088302704,0.08256552769043256
10,97,0.6812,0.0466,0.6012,34,-21.186052812358085,-22.210043850876747,0.04798207703732631
10,97,0.6812,0.0466,0.6012,16,-21.18397400305261,-22.203386585424514,0.038825164743803396
10,97,0.6812,0.0466,0.6558,16,-21.25873870209848,-22.270151370348245,0.02282533649953296
10,97,0.6812,0.0466,0.6012,16,-21.25736728987573,-22.27383001502911,0.03292545030675501
10,97,0.6812,0.0466,0.6558,34,-21.23645563054078,-22.256062659555347,0.03921405802913272
10,97,0.6812,0.0231,0.6012,16,-21.236066820679195,-22.25224091704153,0.03234819272466891
10,97,0.6812,0.0466,0.6012,16,-21.235822964824496,-22.251485936133264,0.03132594261753727
10,97,0.6812,0.0466,0.6012,34,-21.232684391335464,-22.254960787206375,0.04455279174182526
10,97,0.6812,0.0466,0.6012,16,-21.231767427959063,-22.24608071424559,0.028626572573052785
10,97,0.6812,0.0231,0.6012,16,-21.228500088149662,-22.238279035716175,0.019557895133025603
10,97,0.6812,0.0231,0.6012,16,-21.227677627239792,-22.248722337819128,0.04208942115867085
10,97,0.6812,0.0231,0.6012,16,-21.22218050586217,-22.251362948525962,0.058364885327584264
10,97,0.6812,0.0466,0.6012,16,-21.220396708558248,-22.245655580714317,0.05051774431213758
10,97,0.6833,0.0466,0.6012,16,-21.217512938350357,-22.235969702900867,0.036913529101023454
15,97,0.6833,0.0466,0.6012,16,-20.749733218848583,-22.26946793344931,0.03946942920145601
22,97,0.6833,0.0231,0.6012,16,-20.026247179187987,-22.245465198211686,0.0384360380474029
35,97,0.6833,0.0466,0.6012,16,-18.72536070021096,-22.242258852413244,0.033796304404566116
10,97,0.6812,0.0466,0.6012,16,-21.24101792601267,-22.259970768006017,0.03790568398669048
10,97,0.6812,0.0466,0.6558,34,-21.238033236782663,-22.25425623055103,0.03244598753673051
10,97,0.6812,0.0466,0.6012,16,-21.22363307659652,-22.235775530630896,0.024284908068752335
10,97,0.6812,0.0466,0.6558,16,-21.220603164057444,-22.244707646391163,0.04820896466743659
10,97,0.6812,0.0466,0.6558,34,-21.212497044147977,-22.242411723180652,0.05982935806534753
10,97,0.6812,0.0231,0.6012,16,-21.211412894397732,-22.237066070502593,0.051306352209719096
10,97,0.6812,0.0466,0.6012,16,-21.208814125895326,-22.231538309646222,0.04544836750178968
10,97,0.6812,0.0466,0.6558,16,-21.202203009918392,-22.21696922130665,0.02953242277651028
10,97,0.6812,0.0466,0.6012,16,-21.19507049130541,-22.21530936233499,0.04047774205915856
10,97,0.6812,0.0231,0.6012,16,-21.194636981081615,-22.211028348581166,0.03278273499910439
10,97,0.6812,0.0231,0.6558,34,-21.192820499547143,-22.21166188164243,0.03768276419057858
10,97,0.6812,0.0466,0.6558,16,-21.184817138648754,-22.21467685737385,0.05971943745019289
10,97,0.6812,0.0466,0.6012,34,-21.142253205527854,-22.185054831255474,0.08560325145524124
20,97,0.6812,0.0466,0.6012,34,-20.293265165978685,-22.302918162826145,0.019305993694920618
26,97,0.6812,0.0466,0.6012,16,-19.661093766194714,-22.276542968152484,0.030898403915533685
10,97,0.6812,0.0466,0.6012,16,-21.240931420940647,-22.25706658929562,0.03227033670993883
10,97,0.6812,0.0231,0.6012,16,-21.239406685675743,-22.25371475229303,0.02861613323456852
10,97,0.6812,0.0466,0.6012,34,-21.224666408559685,-22.234597257932446,0.019861698745524826
10,97,0.6812,0.0466,0.6558,16,-21.222440336277245,-22.240873142000478,0.03686561144646492
10,97,0.6812,0.0466,0.6012,16,-21.219712550292776,-22.23882369773542,0.03822229488528457
10,97,0.6812,0.0466,0.6558,34,-21.21834672501917,-22.22854360993182,0.020393769825299907
10,97,0.6812,0.0466,0.6558,34,-21.217500547383377,-22.230385751301107,0.025770407835460047
10,97,0.6812,0.0466,0.6012,16,-21.2141872706047,-22.2333980520516,0.038421562893804065
10,97,0.6812,0.0466,0.6558,16,-21.209823519935078,-22.237826042304203,0.056005044738250395
10,97,0.6812,0.0466,0.6012,16,-21.207249869020664,-22.241163774026138,0.06782781001094737
10,97,0.6812,0.0466,0.6012,16,-21.204619830764855,-22.224478135778305,0.0397166100269
10,97,0.6812,0.0466,0.6558,34,-21.20399176354046,-22.23471733454316,0.06145114200539726
10,97,0.6812,0.0466,0.6012,16,-21.197834678799957,-22.22863213580485,0.0615949140097902
10,97,0.6812,0.0466,0.6012,16,-21.18446346539889,-22.216811505608597,0.06469608041941585
15,97,0.6812,0.0466,0.6558,16,-20.72627438313807,-22.245068271196796,0.03758777611745488
10,97,0.6812,0.0466,0.6012,16,-21.264598116191607,-22.274118891670813,0.019041550958414654
10,97,0.6812,0.0146,0.6012,16,-21.246581125372728,-22.256144931172603,0.019127611599747206
10,97,0.6812,0.0466,0.6012,34,-21.24430587896319,-22.26025702119256,0.031902284458748285
10,97,0.6812,0.0466,0.6012,16,-21.235558778016983,-22.246601664907672,0.02208577378137737
10,97,0.6812,0.0466,0.6012,16,-21.23341967273583,-22.260775072566986,0.054710799662306304
10,97,0.6812,0.0466,0.6012,16,-21.22969547903481,-22.24744978541136,0.03550861275309878
10,97,0.6812,0.0466,0.6012,34,-21.226575934866332,-22.249758216032472,0.04636456233228143
10,97,0.6812,0.0466,0.6558,16,-21.22491519159385,-22.239280317034364,0.02873025088102475
10,97,0.76,0.0466,0.6558,16,-21.224357267283626,-22.245649342523524,0.042584150479794296
10,97,0.6812,0.0466,0.6558,16,-21.215998795914153,-22.22870031156993,0.02540303131155506
10,97,0.6812,0.0231,0.6012,16,-21.21586334594594,-22.22724652818848,0.022766364485080078
10,97,0.6812,0.0466,0.6558,34,-21.21572089125865,-22.234222456508352,0.037003130499404596
10,97,0.6812,0.0231,0.6012,16,-21.211555161516557,-22.230711606675456,0.038312890317794994
10,97,0.6812,0.0466,0.6558,34,-21.209976351416874,-22.223706456931374,0.027460211029003284
10,97,0.6812,0.0466,0.6558,33,-21.209484377515786,-22.232396984108952,0.04582521318633472
10,97,0.6812,0.0466,0.6012,16,-21.260651545000552,-22.267620005272743,0.013936920544383414
10,97,0.6812,0.0466,0.6012,16,-21.243008465716457,-22.25979486033608,0.033572789239246774
10,97,0.6812,0.0466,0.6012,16,-21.239832328692085,-22.258569122022582,0.03747358666099075
10,97,0.6812,0.0466,0.6012,34,-21.237291937931207,-22.253149794641182,0.031715713419951705
10,97,0.6812,0.0466,0.6012,16,-21.236146387040982,-22.253953041086874,0.035613308091779566
10,97,0.6812,0.0326,0.6012,16,-21.235039904832473,-22.254212533028532,0.03834525639212152
10,97,0.6812,0.0466,0.6012,16,-21.234265634079364,-22.251124768195677,0.03371826823262393
10,97,0.6812,0.0466,0.6012,16,-21.230473217744137,-22.24469753049842,0.02844862550856427
10,97,0.6812,0.0466,0.6012,16,-21.228301786979447,-22.241568134455736,0.02653269495257564
10,97,0.6812,0.0146,0.6012,16,-21.224944711320198,-22.251502543966012,0.053115665291628526
10,97,0.6812,0.0466,0.6012,16,-21.22159907837252,-22.242576897791654,0.04195563883826609
10,97,0.6812,0.0466,0.6012,16,-21.221265126532465,-22.23614904349978,0.029767833934625395
10,97,0.6812,0.0466,0.6145,16,-21.215030988889634,-22.239472403137153,0.04888282849504018
10,97,0.6812,0.0466,0.6012,34,-21.21486264477099,-22.235405773719076,0.04108625789617785
10,97,0.6812,0.0466,0.6012,34,-21.197778071757455,-22.220109487908456,0.0446628323019996
10,97,0.6812,0.0466,0.6012,16,-21.254550562848035,-22.275796964485465,0.04249280327485763
10,97,0.6812,0.0466,0.6012,16,-21.24845862120806,-22.258942426093554,0.020967609770994166
10,97,0.6812,0.0466,0.6012,16,-21.233991473253113,-22.254178417733442,0.04037388896066136
10,97,0.6812,0.0466,0.6012,16,-21.232704724759618,-22.249740835959884,0.0340722224005299
10,97,0.6812,0.0326,0.6012,16,-21.232346252103945,-22.248954432307233,0.033216360406576724
10,97,0.6812,0.0466,0.6012,16,-21.22907061442797,-22.247321200303755,0.03650117175157045
10,97,0.6812,0.0466,0.6012,34,-21.225598258072093,-22.24678858975692,0.04238066336965863
10,97,0.6812,0.0466,0.6012,16,-21.217740068292937,-22.23146682726126,0.027453517936650598
10,97,0.6812,0.0466,0.6012,16,-21.21012889523238,-22.241606779250816,0.06295576803686932
10,97,0.6812,0.0466,0.6012,34,-21.204719571440968,-22.22784833661712,0.04625753035230801
10,97,0.6812,0.0466,0.6012,16,-21.202270746153022,-22.220071467137863,0.035601441969679654
10,97,0.7091,0.0466,0.6012,16,-21.201077370658414,-22.221160978965926,0.040167216615028374
10,97,0.6812,0.0466,0.6012,16,-21.194336951090918,-22.20614223569784,0.023610569213846223
10,99,0.6812,0.0466,0.6012,16,-21.192036704294114,-22.22394127746486,0.06380914634149441
10,97,0.6812,0.0466,0.6012,16,-21.18454658061036,-22.2280314045859,0.08696964795107795
