generations,population,crossover,mutation,elitism,bits,score,avg_fitness,std_dev
28,71,0.7711,0.0378,0.6501,34,-76.20024361392726,-79.63534096495617,1.2701947020578432
28,71,0.7711,0.0353,0.6501,10,-75.87324934880031,-79.49690914216538,1.647319586730137
28,71,0.7711,0.0353,0.6501,34,-75.77940105890009,-79.4363643647246,1.7139266116490153
28,71,0.7711,0.0353,0.6501,31,-75.50763799550124,-79.00334466417033,1.391413337338168
28,71,0.7711,0.0353,0.6501,34,-75.01325316529652,-78.48272318351204,1.3389400364310358
28,71,0.7711,0.0353,0.6501,10,-74.76819890593909,-78.69065801282538,2.244918213772598
28,41,0.7711,0.0353,0.6501,34,-74.255579738137,-78.1242072826286,2.1372550889831965
28,71,0.7711,0.0353,0.6501,31,-77.45958799388995,-80.38110576938068,0.24303555098144874
28,87,0.7329,0.0353,0.6501,34,-77.42135286205178,-80.41318271176989,0.3836596994362311
28,87,0.7711,0.0353,0.6501,34,-77.40102804672705,-80.39206907503608,0.38208205661807304
28,87,0.7711,0.0353,0.6501,34,-77.04901472003723,-80.11916715725576,0.5403048744370541
28,87,0.7711,0.0353,0.6501,34,-76.86333141352762,-80.07294737427488,0.819231921494507
28,52,0.7329,0.0353,0.6501,34,-76.52097131028768,-79.54369427468397,0.44544592879260453
28,87,0.7329,0.0353,0.6501,34,-76.28055278933266,-79.53575483183506,0.9104040850048029
28,71,0.7711,0.0353,0.6501,34,-76.17812344867681,-79.71054742138324,1.4648479454128494
28,71,0.7711,0.027,0.6501,34,-75.77463157493945,-79.30743348639847,1.465603822918036
28,87,0.7329,0.0353,0.6501,34,-75.75489488544915,-79.32320102141198,1.5366122719256523
28,71,0.7711,0.027,0.6501,34,-75.34035726608258,-78.77314453863988,1.2655745451146068
28,71,0.7711,0.0353,0.6501,34,-74.94346751806029,-78.89566526130525,2.3043954864899256
28,87,0.7711,0.027,0.6501,34,-74.83102464818113,-78.78828372819268,2.3145181600231206
28,71,0.7711,0.0353,0.6501,34,-73.80660033062674,-78.65051857096803,4.087836480682607
28,71,0.7711,0.0353,0.6501,34,-72.92332516501284,-77.25605690057782,3.065463471129953
28,87,0.7329,0.0353,0.6501,34,-77.35090414980586,-80.23800321290427,0.1741981261968471
28,87,0.7711,0.0353,0.6501,34,-77.14468072403426,-80.14774645785496,0.4061314676414168
28,87,0.7711,0.0353,0.6501,34,-76.94443042401014,-80.05206614434726,0.6152714406742732
28,87,0.7711,0.0353,0.6501,34,-76.85541887057965,-79.93504665026484,0.5592555593703806
28,87,0.7711,0.0499,0.6501,34,-76.85391120649535,-79.83233830267942,0.35685419236813737
28,87,0.7711,0.0353,0.6501,34,-76.79153759365613,-79.83381653168307,0.4845578760538963
28,87,0.7711,0.0353,0.6501,34,-76.59367739108421,-79.82653976719996,0.865724752231496
28,87,0.7711,0.0353,0.6501,34,-76.40935815798362,-79.77514476892475,1.1315732218822758
28,87,0.7329,0.0353,0.6501,34,-76.18506090840864,-79.58619338780372,1.2022649587901586
28,87,0.7329,0.0353,0.6501,34,-76.1280721172761,-79.61365120207438,1.3711581695965538
28,52,0.7329,0.0353,0.6501,34,-76.01247019465218,-79.40747596163854,1.190011533972736
28,87,0.7329,0.0353,0.6501,34,-75.83315274087555,-79.33956375521261,1.412822028674124
28,87,0.7711,0.0353,0.6501,34,-75.78847284143627,-79.22683890632871,1.2767321297848786
28,71,0.7711,0.0353,0.6501,31,-75.18592383925115,-78.36364137461028,0.7554350707182844
28,71,0.7711,0.0353,0.6501,31,-73.74308065821074,-78.40385746355142,3.721553610681354
28,87,0.7711,0.0353,0.6501,34,-77.50591441435454,-80.40902311651129,0.20621740431352661
28,87,0.7329,0.0353,0.6501,34,-76.94314435076514,-80.1401184536189,0.793948205707517
28,87,0.7711,0.0499,0.6501,34,-76.46697752880819,-79.74712913269232,0.9603032077682869
28,87,0.7329,0.0353,0.6501,34,-76.41914157988406,-79.69613745676438,0.95399175376064
28,87,0.7711,0.0353,0.6501,34,-76.41885226190782,-79.61637536128097,0.7950461987463106
28,87,0.7711,0.0353,0.6501,34,-76.40772889611524,-79.70933487652012,1.003211960809743
28,87,0.7711,0.0353,0.6501,34,-76.3093465930063,-79.73049097608094,1.2422887661493065
28,87,0.7711,0.0499,0.6501,34,-76.20636167474848,-79.71217338123704,1.4116234129771352
28,80,0.7711,0.0499,0.6501,34,-76.07688037756644,-79.60692703943616,1.460093323739449
29,87,0.7711,0.0353,0.6501,34,-75.91805176455834,-79.59762461442,1.559145699723304
28,87,0.7711,0.0353,0.6501,34,-75.71838093202865,-79.33321817115065,1.6296744782440047
28,87,0.7329,0.0353,0.6501,34,-75.64133599787661,-79.28798320747364,1.6932944191940809
28,87,0.7711,0.0353,0.6501,12,-75.18927621415182,-79.3232187318809,2.667885035458181
28,87,0.7711,0.0353,0.6501,34,-74.02110167841388,-78.32534921667933,3.0084950765308944
28,87,0.7711,0.0353,0.6501,34,-72.85383811933761,-76.79163915246436,2.275602066253489
28,87,0.7711,0.0499,0.6501,34,-77.34738138915935,-80.33070144931202,0.366640120305345
28,87,0.7329,0.0353,0.6501,20,-77.2940245225401,-80.22796532793072,0.26788161078124206
28,87,0.7711,0.0353,0.6501,34,-77.2731082669544,-80.31713764687382,0.4880587598388375
28,87,0.7711,0.0353,0.6501,34,-77.25140434691747,-80.22614151066466,0.3494743274943807
28,67,0.7329,0.0353,0.6501,34,-77.12047019579838,-80.11551093759309,0.39008148358942196
28,87,0.7329,0.0353,0.6501,34,-76.56643829611991,-79.81177705922345,0.8906775262070727
